year,ccode,warnum,batdeath,wbgdp2011est,wbpopest,sdpest,wbgdppc2011est,milex,milper,irst,pec,tpop,upop,cinc,v2x_polyarchy,polity2,xm_qudsest,batdeathpc,milexpsdp
1956,200,155,22,27.238,17.718,27.154,9.519,4527611,761,20990,232317,51406,18874,0.049223699,0.799,10,1.701456492023648,4.279656071275727e-7,0.007295192308000999
2001,200,225,0,28.445,17.862,28.417,10.583,34714000,211,13543,364692,59113,53247,0.02134474,0.862,10,1.7460270370151716,0,0.01581824751614803
1900,200,82,34,26.483,17.501,26.335,8.982,119587,487,4980,185652,41155,13513,0.17752758,0.491,7,0.733385010166371,8.2614506135342e-7,4.3705771437583683e-4
1950,200,151,710,27.07,17.703,26.971,9.367,2376154,689,16554,190014,50616,18995,0.061348703,0.809,10,1.8991407324433391,1.4027185079816659e-5,0.004597461623204907
1940,210,139,7900,24.991,15.951,24.852,9.04,168422,64,153,12668,8880,2418,0.0050485814,0.202,NA,0.6892179672736046,8.896396396396397e-4,0.0027121415740921527
1999,210,221,0,27.159,16.541,27.132,10.618,6193000,54,6075,168470,15735,4880,0.0057901004,0.895,10,1.8836135748560765,0,0.010200540793796967
1951,210,151,111,25.309,16.098,25.194,9.212,278581,218,554,27876,10264,3248,0.0076385359,0.791,10,1.7085011126290368,1.0814497272018707e-5,0.003186664306742644
1914,211,106,13716,24.698,15.807,24.535,8.892,9847,115,1396,16700,7684,894,0.011732684,0.352,NA,0.7071009979875751,0.0017850078084331077,2.1771523691071682e-4
1940,211,139,9600,24.923,15.894,24.783,9.029,289421,82,1894,26015,8295,921,0.0075866552,0.203,NA,0.6260606826184361,0.0011573236889692586,0.004993555656540234
1915,211,106,13716,24.679,15.815,24.511,8.864,11642,156,99,14200,7709,891,0.0057097608,0.168,7,0.7748230749619133,0.0017792190945647944,2.636547190612782e-4
1951,211,151,97,25.119,15.946,24.998,9.174,267099,77,5054,32207,8678,882,0.0091781151,0.679,10,1.8445936282099487,1.1177690712145655e-5,0.0037168822540850494
1940,220,139,2500,26.24,17.287,26.088,8.953,5707762,5000,4413,56951,41000,6422,0.07583493,0.396,-9,-0.580921876035071,6.097560975609756e-5,0.026704928030566746
1862,220,40,8000,25.542,17.4,25.158,8.142,26762,520,1091,16258,37520,2946,0.10611962,0.205,-6,-0.1620830824125878,2.1321961620469082e-4,3.1734962586325133e-4
1823,220,1,400,24.937,17.218,24.27,7.719,13569,256,190,1325,30940,944,0.14634448,0.183,-4,-0.0448434150762465,1.292824822236587e-5,3.910396240344555e-4
1870,220,58,152000,25.538,17.413,25.146,8.125,59066,452,1178,18950,38440,3342,0.12739821,0.33,-2,0.22048922848411268,0.003954214360041623,7.088731373283405e-4
1914,220,106,1385000,26.125,17.418,25.925,8.706,1235000,789,2802,45084,33220,5906,0.074748203,0.516,8,0.8267918393083856,0.04169175195665262,0.006801152519677905
1939,220,139,210824,26.373,17.405,26.223,8.969,1023651,581,7950,79602,41900,6397,0.039596099,0.565,10,1.0116869495921268,0.005031599045346062,0.004184539927225459
1859,220,28,7500,25.487,17.383,25.085,8.104,32307,465,864,13081,36500,2592,0.13871507,0.184,-8,-0.5533716340472775,2.0547945205479453e-4,4.12116073284343e-4
1940,220,139,210824,26.24,17.287,26.088,8.953,5707762,5000,4413,56951,41000,6422,0.07583493,0.396,-9,-0.580921876035071,0.005142048780487805,0.026704928030566746
