warnum,year,deaths,pop,period,deaths_pc
142,1939,303596,366554688.70205224,pre-1945,8.282420314278748e-4
145,1940,2800,94113561.24514943,pre-1945,2.975129155623479e-5
147,1947,7000,818970285.5106808,post-1945,8.547318655932734e-6
148,1948,25000,55501669.82290292,post-1945,4.504368982009201e-4
151,1950,7053148,9079361951.632193,post-1945,7.768330018754301e-4
153,1954,4740,1176639549.0442786,post-1945,4.028421451454737e-6
155,1956,12410,237946806.41291443,post-1945,5.215451380534457e-5
156,1956,4852,400360926.0006086,post-1945,1.2119064786039144e-5
158,1957,3244,149507631.77242497,post-1945,2.169788900768556e-5
159,1958,3600,1241616956.7581832,post-1945,2.899444937832896e-6
160,1962,3706,2146549906.7785664,post-1945,1.7264914215583171e-6
163,1965,6175699,826850934.4798956,post-1945,0.00746893876812829
166,1965,14122,1084871109.0787697,post-1945,1.301721456292799e-5
169,1967,32600,78723454.48722348,post-1945,4.14107843873783e-4
170,1968,31866,582590632.5658422,post-1945,5.469706895158262e-5
172,1969,10736,71175342.60966067,post-1945,1.5083875407356025e-4
175,1969,3800,11692804.413379468,post-1945,3.2498619370147487e-4
176,1970,12725,549064803.2979159,post-1945,2.3175770735199665e-5
178,1971,22446,1205828557.404174,post-1945,1.861458651163498e-5
181,1973,36329,113507038.97241564,post-1945,3.2005944590651015e-4
184,1974,3000,76101639.35108176,post-1945,3.942096419447705e-5
186,1975,5900,133639499.34223711,post-1945,4.414862394007255e-5
187,1977,28300,91925003.76986098,post-1945,3.0785965558239757e-4
189,1977,16000,114471563.41272302,post-1945,1.3977270444287188e-4
190,1978,6500,78972874.86335048,post-1945,8.230674153938522e-5
193,1979,42000,1944747379.568632,post-1945,2.159663534773144e-5
199,1980,2500000,135022238.62145564,post-1945,0.01851546845559957
202,1982,2002,164659077.96370393,post-1945,1.2158455062169753e-5
205,1982,3310,25502770.477533095,post-1945,1.2978982040072766e-4
207,1986,16000,17615858.9377316,post-1945,9.082724865450316e-4
208,1987,8000,2210754059.6233926,post-1945,3.618674797938772e-6
211,1990,562466,1048236076.330242,post-1945,5.365833257419749e-4
215,1992,11870,46602424.45683216,post-1945,2.547077783688097e-4
216,1993,28000,20855221.239673153,post-1945,0.00134258944933824
217,1995,3000,67857088.54802471,post-1945,4.421056169948701e-5
219,1998,240000,133840169.29028216,post-1945,0.00179318362545904
221,1999,40004,578618955.4120834,post-1945,6.91370367766638e-5
223,1999,2344,2221840465.2904735,post-1945,1.054981235879848e-6
225,2001,24004,850994024.5129204,post-1945,2.820701357302604e-5
227,2003,28313,741751739.8923953,post-1945,3.817045310080071e-5
