warnum,year,batdeath,batdeathpc,tpop,milper,milex,sum_sdpest,mea_sdpest,med_sdpest,min_sdpest,max_sdpest,sum_wbgdp2011est,mea_wbgdp2011est,med_wbgdp2011est,min_wbgdp2011est,max_wbgdp2011est,min_polyarchy,med_polyarchy,mea_polyarchy,max_polyarchy,min_polity2,med_polity2,mea_polity2,max_polity2,wpop
37,1860,1000,3.0175925646519207e-5,33139,276,10808,35471663379.68925,17735831689.844624,17735831689.844624,1,35471663378.68925,59729232702.90586,29864616351.45293,29864616351.45293,5219958.44970232,59724012744.45616,0.013,0.1135,0.1135,0.214,-10,-8.5,-8.5,-7,805247000
40,1862,20000,4.3354793956341725e-4,46131,547,26762,84866967875.72955,42433483937.86478,42433483937.86478,537263918.4544549,84329703957.2751,133631345004.0166,66815672502.0083,66815672502.0083,9823074540.751503,123808270463.2651,0.19,0.1975,0.1975,0.205,-6,-4.5,-4.5,-3,787862000
43,1863,1000,2.745744096650192e-4,3642,4,0,2,1,1,1,1,3119861087.00356,1559930543.50178,1559930543.50178,563118137.6164919,2556742949.3870683,0.111,0.1625,0.1625,0.214,-5,-3,-3,-1,787300000
46,1864,14828,1.2520264793299107e-4,118432,1148,35172,213495885846.23694,26686985730.779617,14710230669.017061,3867986792.591659,73459494792.49269,359668800788.47754,44958600098.55969,34668891641.83326,5730106764.228006,104766510346.34425,0.193,0.365,0.30766666666666664,0.365,-7,-1,-1.75,2,785871000
49,1864,510000,0.04455315803267232,11447,111,2977,3817324264.1072598,954331066.0268149,836596823.4904952,1,2144130616.1262696,15360281193.927279,3840070298.4818196,2044875397.554532,283295193.91271615,10987235204.905499,0.059,0.1275,0.17475000000000002,0.385,-9,-7.5,-6.75,-3,785871000
52,1865,1300,3.5857123155426835e-5,36255,253,11226,38694935507.875694,9673733876.968924,9955067268.94593,542663510.6032159,18242137459.38062,77179920363.29843,19294980090.824608,19401938122.017876,3116573505.9714694,35259470613.291214,0.173,0.1935,0.20224999999999999,0.249,-6,-3.5,-3.25,0,786133000
55,1866,202800,3.7140000219763316e-4,546042,4942,305188,1059936203827.9485,22082004246.415592,1,1,76076100605.56874,1686638856677.899,35138309514.122894,5471153.337614323,5020298.740715777,112926161045.81517,0.048,0.193,0.16264285714285714,0.255,-7,-7,-5.645161290322581,-4,785796000
58,1870,660313,0.0034200881550119386,193069,2155,281734,424374808703.40576,53046851087.92572,83323795034.2043,1,91079628563.58853,625924862597.3269,78240607824.66586,123314026528.2736,5235641.8383718915,132652663966.37381,0.206,0.2945,0.27625,0.33,-7,-3,-3.875,-2,801644000
60,1876,4000,0.0035211267605633804,1136,4,164,143953373.06501216,71976686.53250608,71976686.53250608,1,143953372.06501216,1268134091.7478032,634067045.8739016,634067045.8739016,506482332.75088215,761651758.9969211,0.075,0.088,0.088,0.101,-5,-3,-3,-1,841366000
61,1877,285000,0.0022525548714462983,126523,1301,77022,93853416205.15215,46926708102.57607,46926708102.57607,1,93853416204.15215,212941432582.21915,106470716291.10957,106470716291.10957,21279287101.727085,191662145480.49207,0.03,0.0325,0.0325,0.035,-10,-10,-10,-10,848664000
